2b Abt-Burkard-Straße
1b Adalbert-Stifter-Straße 1b Adam-Lang-Straße
1a Adam-Stegerwald-Straße 3b Adam-Zorn-Straße
1a Adolf-Kolping-Straße
4a Adolf-Ley-Straße
1b Ahornstraße
1a Aischweg
4a Alaskastraße
1a Albertistraße, 11 - 25
1a Albertistraße , 18 - 34
1b Albertistraße , 1 - 9
1b Albertistraße, 2 - 16
5a Albert-Schweitzer-Straße 1a Albin-Kitzinger-Straße 2a Albrecht-Dürer-Platz
1a Alfons-Goppel-Straße
4a Alois-Türk-Straße
2a Alte Bahnhofstraße
1a Altenbergstraße
3b Alte Stadtgärtnerei
3b Alter Wartweg
1a Altmühlweg
2b Altstadtstraße
5b Am Anger
5a Am Bergl
2b Am Bramberg
3a Am Breiten Weg
1a Am Deutschhof
2b Am Entensee
5b Am Feldtor
3a Am Friedhof
1b Am Geheegberg
1b Am Gottesberg
1a Am Haag
5a Am Herroth
1b Am Klössberg
1b Am Kührasen
2b Am Löhlein
2a Am Mühltor
2a Am Nadelöhr
2b Am Oberen Marienbach 2b Am Oberen Wall
5b Am Oberndorfer Weiher 2b Am Obertor
4a Am Ochsenrasen
1b Am Pfaffenberg
5b Am Rainlein
2b Am Sand
1a Am Schöttlein
2a Am Schrotturm
2a Am Schweinfurter Kreuz 4a Am Siechgrund
1b Am Sprinzenbaum
1b Am Stauweiher
1b Am Steinberg
5b Am Stichlein
2a Am Unteren Marienbach 2a Am Unteren Wall
2b Am Vogelschuss
5a Am Wasserturm
2b Am Zeughaus
2a Am Zollhof
3a Amselstraße
2a Amsterdamstraße
2a An den Brennöfen
1b An den Eichen
3b An den Lehmgruben
2b An den Schanzen
1b An den Unteren Eichen 3a An der Eselshöhe
2a An der Goldquelle
1a An der Holzspitze
2b An der Peterstirn
3b An der Pfanne
1b An der Turngemeinde
3a An der Ziegelgrube
4a Ander-Kupfer-Platz
3a Annette-Kolb-Straße
4b Anton-Jackel-Weg
2a Anton-Niedermeier-Platz 2a Apostelgasse
4a Armin-Knab-Straße 4b Arndtstraße
1a Arnsbergstraße
2a Athenstraße
3b Auenstraße, 1 - 11
3a Auenstraße, 13 -31
3b Auenstraße, 2-26
3a Auenstraße, 28 -40
3b August-Deubert-Straße
1a Aurachweg
2b Babenbergerstraße 2 b Bachstraße
5b Bahnhofsplatz
2b Bauerngasse
1a Bauersbergstraße 1 a Baunachweg
4b Bauschstraße
3b Bauvereinstraße 5 b Bayernstraße
4b Beethovenstraße
3b Benno-Merkle-Straße
5b Bergrheinfelder Straße
2b Bergstraße
5a Berliner Platz
1a Bernhard-Schineller-Straße 
1a Bertha-von-Suttner-Straße
3a Bertolt-Brecht-Straße
1a Bessererstraße
1b Birkenstraße
3b Blaue Leite
3b Blumenstraße
3b Bodelschwinghstraße, 1
3b Bodelschwinghstraße, 2 -28 4b Bodelschwinghstraße, 3
2b Bodengasse
1b Breite Wiese
1a Brendweg
5a Breslaustraße
5a Brombergstraße
2a Brückenstraße
2a Brüsselstraße
5b Bürgergasse
2a Burggasse
3a Bussardstraße
2a Carl-Benz-Straße
4a Carl-Orff-Straße 
1b Carl-Spitzweg-Straße 
2a Carl-Zeiss-Straße 
1a Celtesstraße, 7 - 15 
1b Celtesstraße, 1 - 5 
1a Celtesstraße, 14 - 22 
1b Celtesstraße, 2 - 12 A 
1b Christoph-Krebs-Straße, 1 - 13 
1a Christoph-Krebs-Straße, 15 - 25 
1b Christoph-Krebs-Straße, 2 - 6 
1a Christoph-Krebs-Straße, 8 - 22 
4a Coloradostraße 
4b Cramerstraße, 161⁄2 - 28 
4b Cramerstraße, 7 - 19 
4a Cramerstraße, 1 - 5 
4a Cramerstraße, 81⁄2 - 16 
1b Cuspinianstraße
3b Franz-Schubert-Straße, 26 - 36
2b Graben
2a Hellersgasse
4b Damaschkeplatz
2a Frauengasse
2b Graf-Berthold-Straße
2a Helsinkistraße
4b Damaschkestraße
1a Freitagstraße
3a Grasmückenweg
2b Hennebergstraße
5a Danzigstraße
4b Friedenstraße, 7½ - 23
4a Gretel-Baumbach-Straße
3a Herbert-Müller-Straße
4b Degnerstraße
4a Friedenstraße, 1 - 7
1a Greulstraße
2b Herdgasse
2b Deutschfeldstraße
4b Friedenstraße, 4 - 24
4a Gunnar-Wester-Straße
4a Hermann-Barthel-Straße, 29
1b Deutschhöfer Straße, 28 - 62
3a Friedhofstraße, 1 - 33
2b Gustav-Adolf-Straße , 1 - 29
5a Hermann-Barthel-Straße
1b Deutschhöfer Straße , 51 - 79
3a Friedhofstraße, 2 - 26
1a Gustav-Adolf-Straße, 31 - 33
5b Hermann-Gräf-Allee
3a Deutschhöfer Straße,1 - 49
3b Friedhofstraße , 35
2b Gustav-Adolf-Straße, 8 - 10
3b Hermann-Löns-Straße
3a Deutschhöfer Straße, 2 - 6
3a Friedrich-Dürrenmatt-Straße
5b Gustav-Heusinger-Straße
5b Heunischstraße
2b Deutschhöfer Straße, 8 - 24
4b Friedrich-Ebert-Straße
4a Gustav-Mahler-Weg
2b Hezilostraße
1b Dittelbrunner Straße, 2 - 92
2a Friedrich-Gauss-Straße
5b Gustl-Kirchner-Straße
5a Hirschbergstraße
3a Dittelbrunner Straße, 5 - 51
5b Friedrich-Pfister-Straße
2a Gutermann-Promenade
2b Hirtengasse
3a Drosselstraße
2a Friedrich-Rätzer-Straße
2b Gymnasiumstraße
1b Hochfeldstraße
2a Dublinstraße
5b Friedrich-Russ-Straße
1a Hoefelstraße
2b Friedrich-Seyffert-Straße
1b Haardtberg
2b Hofrat-Graetz-Straße
1a Ebersbergstraße
4b Friedrich-Stein-Straße
2b Hadergasse
2a Hohe Brückengasse
1a Ebrachweg
4a Friedrichstraße
2a Hafenstraße
4a Hohmannstraße
1a Edmund-Habermann-Straße
4a Fritz-Drescher-Straße
4a Hainigweg
2b Höllental
3a Eichendorffstraße
3b Fritz-Soldmann-Straße
4a Händelstraße
4a Hornpfad
2b Eilastraße
3b Frühlingstraße
1a Hans-Appold-Straße
2a Hutrasen
5a Einsteinstraße
5b Fuchsgasse
2a Hans-Böckler-Straße
1a Elsa-Brändström-Straße, 1 - 73
1b Hans-Holbein-Straße
4a Ignaz-Schön-Straße, 1 - 11
1a Elsa-Brändström-Straße, 42 - 76
4b Gabelsbergerstraße
1b Hans-Lingl-Straße
4b Ignaz-Schön-Straße, 2 -30
2b Elsa-Brändström-Straße, 8 - 40
3b Galgenleite
1a Hans-Nickel-Straße
4a Ignaz-Schön-Straße, 32 -46
3a Elsterstraße
1a Gangolfsbergstraße
2b Hans-Weinzierl-Straße
1a Ilmenbergstraße
5b Engelbert-Fries-Straße
4b Gartenpfad
1b Harald-Hamberg-Straße 
2a Im I. Wehr
3a Erich-Kästner-Straße
3b Gartenstadtstraße
1b Hartlaubstraße
2a Im 2. Wehr
1b Ernst-Herrmann-Straße
2b Gartenstraße
1a Hassbergstraße
5b Im Steinach
1a Ernst-Paul-Straße
1b Gartenstraße, 37
4a Hauptbahnhofstraße, 2 - 2a
1b Im Zeller Grund
3b Ernst-Reuter-Straße
1a Geiersbergstraße
5b Hauptbahnhofstraße
2a In den Maingärten
5b
Ernst-Sachs-Straße
5a Geldersheimer Straße, 1 - 15
5b Hauptstraße
3a Ina-Seidel-Straße
1b Eschenweg
5a Geldersheimer Straße, 2 - 82
4a Haydnstraße
1a Itzweg
4a Euerbacher Straße
4a Geldersheimer Straße, 84 - 92
5a Haylmannstraße
2a Europa-Allee
2a Genfstraße
3a Hebbelstraße
4a Jackson Street
3b Georg-Groha-Straße
1b Hebererstraße
2b Jägersbrunnen, 2 - 6 A
3a Falkenring
4a Georg-Schäfer-Straße, 12 - 30
3a Heckenweg
2a Jägersbrunnen, 5 - 11
3a Fasanenweg
4b Georg-Schäfer-Straße , 5 - 7
4a Heeresstraße
2b Jägerstraße
2b Fehrstraße
4a Georg-Schäfer-Straße, 9 - 71
1a Heidelsteinstraße
1a Jagstweg
4b Feldgasse
3b Georg-Schwarz-Straße
4b Heimburgstraße
2b Jahnstraße
5b Fennstraße
1b Georg-Spohn-Straße
5a Heimgartenweg
4b Jehlestraße
1a Feuerbergstraße
2a Georg-Wichtermann-Platz
3a Heimstättenstraße
3a Joachim-Ringelnatz-Straße
4b Fichtestraße
4a Gerhart-Hauptmann-Straße
3a Heinestraße
5b Johann-Gg.-Gademann-Straße
5b Finkenweg
3a Gertrud-Herz-Straße
2a Heini-Dittmar-Straße
2a Johannisgasse
2a Fischerrain
4a Geschwister-Scholl-Straße
1b Heinrich-Beck-Straße
3b Johann-Riedel-Straße
2a Fischersteig
4a Giegler-Pascha-Straße
3a Heinrich-Böll-Straße
5b Johann-Schirmer-Straße
4a Florian-Geyer-Straße
5a Gleiwitzstraße
5b Heinrich-Lauer-Straße
4a Johann-Seb.-Bach-Straße
2b Frankenstraße
5b Glockenhof
4a Heinrich-Spiess-Straße
1b Jonas-Wehner-Straße, 1 - 17
1a Frankenwaldstraße
5a Glogaustraße
4a Heinrichstraße
1a Jonas-Wehner-Straße , 19 - 29
3b Franz-Liszt-Straße
4b Goethestraße
3b Heinrich-Winkler-Straße
1b Jonas-Wehner-Straße, 2 -24
1b Franz-Marc-Straße
